name
MANGOTSONYA
MOBOLE
AFIENYA
MATAHEKO
LALLUEKPO
NORTH DAWHENYA
SOUTH DAWHENYA
WEST UPPER PRAMPRAM
EAST UPPER PRAMPRAM
WEST LOWER PRAMPRAM
DJAGMAKU
BANTAMA
KUNGORTSITSA
NYIGBENYA
SOMEH KPATCHEREMIDOR
NEW NINGO
LAKPLEKU
AHWIAM
AYETEPA- MANGOTSONYA
LEKPONGUNOR
DAWA
AFIENYA
